,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,Tenet,2020,150,7.7,69,182156,53.8
1,Home Alone,1990,103,7.6,63,463373,285.76
2,Love Actually,2003,135,7.6,55,421605,59.7
3,Inception,2010,148,8.8,74,2040268,292.58
4,The Gentlemen,2019,113,7.8,51,212052,
5,1917,2019,119,8.3,78,398056,159.23
6,The Trial of the Chicago 7,2020,129,7.9,77,67336,
7,Knives Out,2019,130,7.9,82,424413,165.36
8,Spider-Man: Into the Spider-Verse,2018,117,8.4,87,360381,190.24
9,Die Hard,1988,132,8.2,72,777376,83.01
10,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64,645531,317.58
11,Once Upon a Time... In Hollywood,2019,161,7.6,83,533835,142.5
12,Klaus,2019,96,8.2,65,83095,
13,Jojo Rabbit,2019,108,7.9,58,281451,0.35
14,The Godfather,1972,175,9.2,100,1598585,134.97
15,Star Wars: Episode IV - A New Hope,1977,121,8.6,90,1218652,322.74
16,Citizen Kane,1941,119,8.3,100,397056,1.59
17,Avengers: Endgame,2019,181,8.4,78,785561,858.37
18,Parasite,2019,132,8.6,96,517390,53.37
19,Mad Max: Fury Road,2015,120,8.1,90,870825,154.06
20,Joker,2019,122,8.5,59,905901,335.45
21,Interstellar,2014,169,8.6,74,1485652,188.02
22,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1641739,315.54
23,The Shawshank Redemption,1994,142,9.3,80,2315190,28.34
24,A Clockwork Orange,1971,136,8.3,77,751003,6.21
25,The Nightmare Before Christmas,1993,76,8.0,82,295493,75.08
26,The Wolf of Wall Street,2013,180,8.2,75,1165061,116.9
27,A Christmas Story,1983,93,7.9,77,128826,20.61
28,It's a Wonderful Life,1946,130,8.6,89,393976,
29,Titanic,1997,194,7.8,75,1035838,659.33
30,The Dark Knight,2008,152,9.0,84,2277661,534.86
31,Deadpool 2,2018,119,7.7,66,471049,324.59
32,Hamilton,2020,160,8.6,90,48637,
33,Gladiator,2000,155,8.5,67,1326976,187.71
34,Pulp Fiction,1994,154,8.9,94,1806491,107.93
35,The Goonies,1985,114,7.8,62,241960,61.5
36,The Godfather Coda: The Death of Michael Corleone,1990,162,7.6,60,355169,66.67
37,Deadpool,2016,108,8.0,65,893896,363.07
38,Inglourious Basterds,2009,153,8.3,69,1251102,120.54
39,Gone Girl,2014,149,8.1,79,848403,167.77
40,The Prestige,2006,130,8.5,66,1175268,53.09
41,Ford v Ferrari,2019,152,8.1,81,277302,117.62
42,Little Women,2019,135,7.8,91,133809,108.1
43,The Matrix,1999,136,8.7,73,1656804,171.48
44,Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,85,754969,381.01
45,The Irishman,2019,209,7.9,94,315919,7.0
46,Blade Runner 2049,2017,164,8.0,81,452934,92.05
47,One Flew Over the Cuckoo's Nest,1975,133,8.7,83,908883,112.0
48,X-Men: Days of Future Past,2014,132,7.9,75,655761,233.92
49,Se7en,1995,127,8.6,65,1426781,100.13
